地区,食品烟酒,衣着,居住,生活用品,交通通信,教育文化,医疗保健,其他用品
 北  京,8373.880833,1803.5086,15710.52246,2145.811114,3789.483449,2766.022264,3513.317521,800.7281111
 天  津,8516.007564,1711.820707,7035.340948,1669.405706,3778.719068,2253.668286,2645.975583,850.4692757
 河  北,4992.478562,1249.668278,4394.49898,1171.228058,2356.860743,1799.066709,1692.018775,381.2216456
 山  西,4362.36073,1235.844821,3460.383332,863.855173,1980.874277,1608.441949,1854.012413,366.909392
 内蒙古,5686.075653,1568.254345,4148.550641,1119.202266,3099.196787,1835.876303,1891.52544,445.8078918
 辽  宁,6110.08952,1378.240348,4473.827668,1091.821781,2660.015578,1950.817597,2303.197015,704.1197073
 吉  林,5021.599196,1293.872413,3448.206328,906.6747388,2385.998621,1742.01102,2031.187504,488.1295562
 黑龙江,5287.17158,1300.570824,3450.712601,895.3729751,2122.166709,1602.863889,2023.207724,374.3504261
 上  海,11224.71727,1694.020412,15247.34038,2091.216507,4557.451535,3662.911098,3033.384339,1025.252728
 江  苏,7258.372863,1450.490162,7505.910054,1522.957133,3588.8331,2298.213127,2018.615599,581.7553424
 浙  江,8922.140318,1703.236686,9009.122497,1789.315968,4301.194611,2889.378163,1955.895127,724.437792
 安  徽,6280.417231,1210.357932,4375.921476,1108.377215,2172.114424,1855.250671,1548.039636,326.7853017
 福  建,8385.061772,1182.434058,7304.813097,1274.823875,2972.02855,1895.899252,1583.242997,527.4896851
 江  西,5780.605781,987.206101,4454.91812,966.5275501,2146.429244,1878.974038,1437.283907,303.3362883
 山  东,5757.293417,1437.990868,4437.007534,1571.040752,3004.119686,2373.746354,1914.048616,444.8069796
 河  南,4417.904045,1221.79136,3807.639832,1077.554941,1917.2477,1685.35484,1621.897544,393.235738
 湖  北,5897.662953,1173.00208,4659.569343,1088.850842,2559.532869,1755.949729,1764.930797,346.4480749
 湖  南,6251.691016,1236.912532,4436.169448,1289.000955,2745.469388,2587.316758,2034.714576,416.3482231
 广  东,9629.295787,1044.526049,7732.974996,1560.616037,3808.667089,2442.863256,1677.881014,595.1199873
 广  西,5591.504785,594.9720219,3579.018754,929.1088044,2107.941871,1766.185888,1540.715718,247.3367243
 海  南,7514.030776,660.6403884,4168.003314,889.9700669,2118.854327,1880.546553,1407.302284,332.2724073
 重  庆,7284.582538,1459.102746,4062.117199,1517.405591,2630.916794,2120.930741,2101.501108,501.5798057
 四  川,7026.409187,1190.421664,3855.748483,1234.784032,2465.147016,1650.532106,1907.994515,452.354381
 贵  州,4606.897685,944.5934853,2998.215449,901.1253881,2217.959543,1636.683547,1269.629303,298.6689253
 云  南,5092.113151,868.3188555,3469.779784,958.547547,2709.421604,1835.838177,1547.432815,310.9657166
 西  藏,4786.584412,1137.167751,2970.480074,838.6375927,1987.518113,550.9375071,589.9001487,363.5717575
 陕  西,4819.536998,1156.587008,3857.57957,1179.286012,2194.024919,1756.622731,2078.396199,375.5863501
 甘  肃,4768.810249,1140.583082,3557.27288,1045.521727,2020.382321,1728.553293,1544.687221,369.1375237
 青  海,5224.460392,1301.387535,3618.475668,1073.368348,3121.005342,1521.316673,1975.730557,448.4836732
 宁  夏,4816.340569,1263.859216,3348.805117,1037.227228,2921.992021,1760.58981,1906.280013,450.727297
 新  疆,5225.911434,1138.881097,3304.662859,1030.976198,2318.879752,1488.398688,1611.661532,392.6903423
